input_snr_db,wavelet_family,level,threshold,output_snr_db
7.5,haar,2,hard,14.240893691988376
7.5,haar,2,soft,13.85018875821938
7.5,db2,2,hard,15.279179473363016
7.5,db2,2,soft,15.151831047165906
7.5,sym2,2,hard,15.279179473363016
7.5,sym2,2,soft,15.151831047165906
7.5,coif1,2,hard,15.312257205110875
7.5,coif1,2,soft,15.205320698723776
10,haar,2,hard,16.006654739542544
10,haar,2,soft,15.453069012204558
10,db2,2,hard,17.4310026779979
10,db2,2,soft,17.134109423863574
10,sym2,2,hard,17.4310026779979
10,sym2,2,soft,17.134109423863574
10,coif1,2,hard,17.475543786486945
10,coif1,2,soft,17.209001519141562
12.5,haar,2,hard,17.704836087864052
12.5,haar,2,soft,16.888649961395682
12.5,db2,2,hard,19.50452959064006
12.5,db2,2,soft,18.981187501766435
12.5,sym2,2,hard,19.50452959064006
12.5,sym2,2,soft,18.981187501766435
12.5,coif1,2,hard,19.51349418638677
12.5,coif1,2,soft,19.0672210690135
15,haar,2,hard,19.41094563833236
15,haar,2,soft,18.22101981900465
15,db2,2,hard,21.373387029904805
15,db2,2,soft,20.656761661917656
15,sym2,2,hard,21.373387029904805
15,sym2,2,soft,20.656761661917656
15,coif1,2,hard,21.397368345730744
15,coif1,2,soft,20.725870689661598
17.5,haar,2,hard,21.12697007871489
17.5,haar,2,soft,19.519433533689096
17.5,db2,2,hard,23.12479016679579
17.5,db2,2,soft,22.1512574117937
17.5,sym2,2,hard,23.12479016679579
17.5,sym2,2,soft,22.1512574117937
17.5,coif1,2,hard,23.200398646758412
17.5,coif1,2,soft,22.26072092515942
20,haar,2,hard,22.83818987050095
20,haar,2,soft,20.863135393085948
20,db2,2,hard,24.85143651532955
20,db2,2,soft,23.592642340466774
20,sym2,2,hard,24.85143651532955
20,sym2,2,soft,23.592642340466774
20,coif1,2,hard,24.877060589054413
20,coif1,2,soft,23.681962955114596
